% Model:              scattering_nanosphere.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 6 2024, 16:26
% Dimension:          1
% Nodes:              13
% Expressions:        1
% Description:        Global
% Solution number         Heat losses
1                         1.172015911080891E-17
2                         1.2760519800055973E-17
3                         1.3865526451964952E-17
4                         1.4637050027802626E-17
5                         1.6202208801294737E-17
6                         1.657289889392972E-17
7                         1.7079266906931192E-17
8                         1.7652391450522497E-17
9                         1.0128799452088786E-17
10                        4.71199800715271E-18
11                        2.777353255168742E-18
12                        1.919169882692218E-18
13                        1.4514934364593877E-18
