% Model:              scattering_nanosphere.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 6 2024, 16:20
% Dimension:          1
% Nodes:              13
% Expressions:        1
% Description:        Global
% Solution number         Skin depth of gold
1                         12.195783655424307
2                         16.261051601927548
3                         20.316423574328375
4                         25.47793232051947
5                         31.848983227065755
6                         34.61384198767152
7                         40.454266625719725
8                         43.0072454413321
9                         37.31412717596944
10                        32.757224251181135
11                        30.21148797845974
12                        28.70110478019687
13                        27.728082482039543
